date,equity,coreValue,cashValue,wheelValue,leapsValue
2024-01-22,1669071.125592954,707317.1602117158,31600,118949.46687279947,811204.4985084386
2024-01-23,1681485.1391404243,710252.2252963077,31600,118968.42838242007,820664.4854616966
2024-01-24,1699977.1118295526,714193.5574631239,31600,118975.73375461888,835207.8206118097
2024-01-25,1704099.1625154305,715065.7238456826,31600,118977.77335074745,838455.6653190005
2024-01-26,1682062.8961257827,710805.672191531,31600,118978.78987024391,820678.4340640078
2024-01-29,1717707.4581860597,718084.6274593021,31600,118979.78850816317,849043.0422185946
2024-01-30,1692743.4653504752,713304.6540848436,31600,118979.78827698177,828859.0229886498
2024-01-31,1621109.0779123278,699333.7668029147,31600,118979.64415665658,771195.6669527567
2024-02-01,1663857.6177478149,708318.7269822719,31750,119459.78968997518,804329.1010755679
2024-02-02,1727609.985032587,720289.7043301412,31750,119459.79036486664,856110.4903375793
2024-02-05,1715927.5173375588,719349.4920583449,31750,119459.79036487102,845368.2349143429
2024-02-06,1705937.3579542139,717905.5617024052,31750,119459.79036487102,836822.0058869375
2024-02-07,1746113.9184319505,725292.9657969731,31750,119459.79036487102,869611.1622701064
2024-02-08,1751479.4002116858,726636.1627836293,31750,119459.79036487102,873633.4470631855
2024-02-09,1789592.6594605693,733788.4881913849,31750,119459.79036487102,904594.3809043134
2024-02-12,1772060.877268698,730917.4846913543,31750,119459.79036487102,889933.6022124728
2024-02-13,1709585.4403252436,719517.3468486667,31750,119459.79036487102,838858.3031117059
2024-02-14,1751980.4993168619,727358.102342736,31750,119459.79036487102,873412.6066092547
2024-02-15,1763506.8381547402,729523.9722577825,31750,119459.79036487102,882773.0755320867
2024-02-16,1726744.8225811422,722908.8744069631,31750,119459.79036487102,852626.157809308
2024-02-20,1693624.6626197614,717452.2615406297,31750,119459.79036487102,824962.6107142607
2024-02-21,1677315.4355111434,714581.206802873,31750,119459.79036487102,811524.4383433993
2024-02-22,1793433.8437969475,735501.0579446558,31750,119459.79036487102,906722.9954874208
2024-02-23,1780988.5198718929,733335.1880296094,31750,119459.79036487102,896443.5414774123
2024-02-26,1777490.2238027256,732949.0092888721,31750,119459.79036487102,893331.4241489824
2024-02-27,1785507.6741655008,734711.9457267846,31750,119459.79036487102,899585.9380738451
2024-02-28,1763262.7691855556,730799.9453479482,31750,119459.79036487102,881253.0334727365
2024-02-29,1798249.5650926328,737062.4764062754,31750,119459.79036487102,909977.2983214863
2024-03-01,1862724.0030974736,748910.3629033867,31900,119939.79036487102,961973.849829216
2024-03-04,1844800.0895661935,746238.150041089,31900,119939.79036487102,946722.1491602333
2024-03-05,1763364.5083877705,732843.4400867595,31900,119939.79036487102,878681.2779361398
2024-03-06,1790735.3712372237,737448.4310051948,31900,119939.79036487102,901447.1498671579
2024-03-07,1858387.5751493117,748641.5054951956,31900,119939.79036487102,957906.2792892449
2024-03-08,1793671.3531054398,737834.9455851505,31900,119939.79036487102,903996.6171554184
2024-03-11,1773526.8553173519,735095.5440153499,31900,119939.79036487102,886591.520937131
2024-03-12,1836419.0635881517,745633.1439390245,31900,119939.79036487102,938946.129284256
2024-03-13,1801375.9722741777,739902.1523453837,31900,119939.79036487102,909634.0295639229
2024-03-14,1786787.318459542,738036.6655749284,31900,119939.79036487102,896910.8625197427
2024-03-15,1734713.662557658,729263.718071365,31900,119939.79036487102,853610.154121422
2024-03-18,1766530.8010641378,735246.7955408661,31900,121029.01489901525,878354.9906242563
2024-03-19,1777153.3082226594,737078.6879575698,31900,121297.07468257965,886877.54558251
2024-03-20,1831376.912939725,745817.9898182921,31900,122018.4553122498,931640.4678091829
2024-03-21,1851957.825811828,749347.3459476042,31900,122302.9251025861,948407.5547616377
2024-03-22,1855516.0083927596,750204.4892146186,31900,122488.61695721581,950922.9022209253
2024-03-25,1836838.1428739948,747481.8591771489,31900,122559.06596131937,934897.2177355265
2024-03-26,1821510.392391155,745061.7321907114,31900,122490.8160497627,922057.8441506808
2024-03-27,1836430.8850035977,747599.4650598239,31900,122679.72105741831,934251.6988863555
2024-03-28,1827226.4664482712,746221.3785087581,31900,122663.96462468352,926441.1233148297
2024-04-01,1835132.13670348,748551.1850496017,32050,123458.61395571409,931072.3376981644
2024-04-02,1795391.7070409872,742091.0062105776,32050,123220.45891818492,898030.2419122248
2024-04-03,1803700.98419079,743756.5443311909,32050,123430.83085576465,904463.6090038343
2024-04-04,1736000.8319710605,732384.000939393,32050,122752.33186831314,848814.4991633543
2024-04-05,1788474.5780238486,741014.3439644265,32050,123393.9126043613,892016.3214550607
2024-04-08,1787790.819454636,741233.0546205041,32050,123618.36066797777,890889.404166154
2024-04-09,1803909.206901949,743975.2549872685,32050,123759.46910341871,904124.4828112618
2024-04-10,1764807.4255091262,737481.4481013591,32050,123657.56277859579,871618.4146291713
