date,equity
2014/10/13,68233.89873
2014/10/14,68246.90208
2014/10/15,68093.90201
2014/10/16,67984.89875
2014/10/17,68254.89864
2014/10/20,68563.89884
2014/10/21,69137.06225
2014/10/22,69016.52677
2014/10/23,69366.94657
2014/10/24,69549.202
2014/10/27,69586.9632
2014/10/28,69939.92256
2014/10/29,69852.64586
2014/10/30,69907.23038
2014/10/31,70238.64498
2014/11/3,71839.93234
2014/11/4,71756.91376
2014/11/5,71761.15718
2014/11/6,71838.22029
2014/11/7,71822.63447
2014/11/10,71924.76233
2014/11/11,72013.07381
2014/11/12,72066.70937
2014/11/13,72184.59548
2014/11/14,72272.88957
2014/11/17,72205.91782
2014/11/18,72417.79329
2014/11/19,72301.65463
2014/11/20,72431.65643
2014/11/21,72503.92836
2014/11/24,72728.0417
2014/11/25,72757.09876
2014/11/26,72884.54343
2014/11/28,72986.39693
2014/12/1,74288.84842
2014/12/2,74367.29079
2014/12/3,74432.4392
2014/12/4,74426.41838
2014/12/5,74441.90316
2014/12/8,74337.11055
2014/12/9,74414.46904
2014/12/10,74059.54872
2014/12/11,74187.7052
2014/12/12,73932.51047
2014/12/15,73693.57321
2014/12/16,73252.83763
2014/12/17,73710.57887
2014/12/18,74307.64959
2014/12/19,74410.34209
2014/12/22,74533.31973
2014/12/23,74472.56566
2014/12/24,74510.84497
2014/12/26,74730.06707
2014/12/29,74740.64238
2014/12/30,74622.04327
2014/12/31,74430.87294
2015/1/2,75890.11481
2015/1/5,75566.98259
2015/1/6,75251.56623
2015/1/7,75555.98257
2015/1/8,75980.94679
2015/1/9,75846.76175
2015/1/12,75633.10416
2015/1/13,75635.79686
2015/1/14,75508.81423
2015/1/15,75165.57468
2015/1/16,75466.56601
2015/1/20,75670.92471
2015/1/21,75810.68428
2015/1/22,76291.39866
2015/1/23,76357.78454
2015/1/26,76371.20676
2015/1/27,75623.41064
2015/1/28,75465.61437
2015/1/29,75726.61813
2015/1/30,75513.62112
2015/2/2,77251.61989
2015/2/3,77459.74422
2015/2/4,77448.0346
2015/2/5,77639.5817
2015/2/6,77515.48815
2015/2/9,77454.75643
2015/2/10,77790.29202
2015/2/11,77874.68176
2015/2/12,78092.58426
2015/2/13,78236.81776
2015/2/17,78303.57855
2015/2/18,78338.97619
2015/2/19,78422.05807
2015/2/20,78513.1168
2015/2/23,78572.36815
2015/2/24,78595.06627
2015/2/25,78584.60255
2015/2/26,78648.1207
2015/2/27,78625.91148
2015/3/2,80238.49442
2015/3/3,80231.94311
2015/3/4,80233.3963
2015/3/5,80262.55193
2015/3/6,80216.9531
2015/3/9,80286.68198
2015/3/10,80286.68198
2015/3/11,80243.43037
2015/3/12,80305.60813
2015/3/13,80288.12809
2015/3/16,80401.33549
2015/3/17,80424.42645
2015/3/18,80479.39286
2015/3/19,80499.42838
2015/3/20,80530.06235
2015/3/23,80543.8148
2015/3/24,80540.02677
2015/3/25,80426.85394
2015/3/26,80416.78343
2015/3/27,80448.00626
2015/3/30,80527.16184
2015/3/31,80488.75221
2015/4/1,81966.19545
2015/4/2,81983.62648
2015/4/6,82055.69637
2015/4/7,82061.75994
2015/4/8,82075.6873
2015/4/9,82078.19612
2015/4/10,82078.38813
2015/4/13,82078.38984
2015/4/14,82078.38984
2015/4/15,82078.38984
2015/4/16,82078.38984
2015/4/17,82078.38984
2015/4/20,82177.2311
2015/4/21,82200.34307
2015/4/22,82222.32661
2015/4/23,82242.22223
2015/4/24,82263.45936
2015/4/27,82266.81742
2015/4/28,82273.16335
2015/4/29,82269.09951
2015/4/30,82240.77918
2015/5/1,83767.00717
2015/5/4,83774.20976
2015/5/5,83752.53867
2015/5/6,83737.02154
2015/5/7,83757.34612
2015/5/8,83775.10776
2015/5/11,83778.14284
2015/5/12,83778.24265
2015/5/13,83780.39192
2015/5/14,83782.30546
2015/5/15,83782.3656
2015/5/18,83782.38473
2015/5/19,83782.38473
2015/5/20,83782.38473
2015/5/21,83782.38473
2015/5/22,83782.38473
2015/5/26,83782.38473
2015/5/27,83782.38473
2015/5/28,83782.38473
2015/5/29,83782.38473
2015/6/1,85282.38473
2015/6/2,85282.38473
2015/6/3,85282.38473
2015/6/4,85282.38473
2015/6/5,85282.38473
2015/6/8,85202.90141
2015/6/9,85213.91158
2015/6/10,85331.39548
2015/6/11,85352.63867
2015/6/12,85289.98864
2015/6/15,85277.63291
2015/6/16,85330.34096
2015/6/17,85363.16744
2015/6/18,85440.44202
2015/6/19,85424.06071
2015/6/22,85470.47104
2015/6/23,85477.56116
2015/6/24,85478.79217
2015/6/25,85477.72924
2015/6/26,85462.06017
2015/6/29,85286.25144
2015/6/30,85350.2159
2015/7/1,86926.06702
2015/7/2,86947.76505
2015/7/6,86992.49157
2015/7/7,87008.09124
2015/7/8,86925.36458
2015/7/9,86921.55057
2015/7/10,87123.07257
2015/7/13,87296.64141
2015/7/14,87349.67153
2015/7/15,87367.90168
2015/7/16,87428.98215
2015/7/17,87473.5263
2015/7/20,87490.39858
2015/7/21,87492.38696
2015/7/22,87479.81243
2015/7/23,87476.48451
2015/7/24,87458.33805
2015/7/27,87446.7707
2015/7/28,87480.41095
2015/7/29,87493.40469
2015/7/30,87504.82263
2015/7/31,87507.89018
2015/8/3,89014.01041
2015/8/4,89015.95258
2015/8/5,89018.20764
2015/8/6,89017.41878
2015/8/7,89019.44256
2015/8/10,89022.61665
2015/8/11,89022.61665
2015/8/12,89051.31702
