type,date,qty,strike,premiumPerContract
stage2_sell_put,2021-05-04,16.722722621139074,92,488.6385103613787
stage2_put_expired,2021-06-07,16.722722621139074,92,
stage2_sell_put,2021-08-18,13.736169276072218,119,151.182298151587
stage2_put_expired,2021-09-20,13.736169276072218,119,
stage2_sell_put,2021-09-20,13.497323579204487,123,163.55832396953716
stage2_put_expired,2021-10-25,13.497323579204487,123,
stage2_sell_put,2021-12-01,11.864662912370935,143,422.5337347613376
stage2_put_expired,2022-01-03,11.864662912370935,143,
stage2_sell_put,2022-01-05,12.78524817364619,137,549.9165835370363
stage2_stop_loss,2022-02-07,,,
stage2_sell_put,2023-02-21,41.24751781043857,21,149.18854082607967
stage2_put_expired,2023-03-27,41.24751781043857,21,
stage2_sell_put,2023-04-25,40.75367147685133,23,103.3539584394374
stage2_put_expired,2023-05-30,40.75367147685133,23,
stage2_sell_put,2023-08-04,26.28039412232396,38,125.56354959304113
stage2_put_expired,2023-09-06,26.28039412232396,38,
stage2_sell_put,2023-09-15,28.012258712306522,37,128.6476508822817
stage2_sell_call,2023-10-18,28.01225871230652,37,224.65944909480663
stage2_called_away,2023-11-20,,37,
stage2_sell_put,2024-01-03,26.851694680229553,43,130.99743914762348
stage2_put_expired,2024-02-05,26.851694680229553,43,
stage2_sell_put,2024-03-15,22.630149125447364,53,152.91759576067358
stage2_put_expired,2024-04-17,22.630149125447364,53,
stage2_sell_put,2024-04-17,25.281701706293866,49,141.43151819812445
stage2_put_expired,2024-05-20,25.281701706293866,49,
stage2_sell_put,2024-07-17,18.95528938467547,68,187.7655687596743
stage2_put_expired,2024-08-19,18.95528938467547,68,
stage2_sell_put,2024-09-03,23.40616114177386,57,296.8301265645877
stage2_put_expired,2024-10-07,23.40616114177386,57,
stage2_sell_put,2024-10-31,22.00668316909608,64,284.84164116307403
stage2_put_expired,2024-12-03,22.00668316909608,64,
stage2_sell_put,2024-12-18,19.48305158324421,76,265.0708727816749
stage2_put_expired,2025-01-21,19.48305158324421,76,
stage2_sell_put,2025-01-27,21.056928975380405,73,317.5673299829537
stage2_sell_call,2025-03-03,21.056928975380405,73,434.2147526889846
stage2_roll_call,2025-04-07,21.056928975380405,73,10.998640903525668
stage2_roll_call,2025-05-12,21.056928975380405,73,726.4200312955019
stage2_called_away,2025-06-16,,73,
stage2_sell_put,2025-08-01,24.7938915849576,76,177.36426135946778
stage2_put_expired,2025-09-03,24.7938915849576,76,
stage2_sell_put,2025-10-10,21.77428385537871,89,179.6356298499827
stage2_put_expired,2025-11-12,21.77428385537871,89,
stage2_sell_put,2025-11-13,20.644017032058724,96,287.0990200909638
stage2_sell_call,2025-12-16,20.644017032058724,96,0.07909056272211896
